,total_queries,ctr,zero_resulto_rate,keywords,lang
2608,43040.0,20.8349545343,62.0235470436,with,English
659,21733.0,26.9574081902,18.0122164483,camiseta,Spanish
947,21477.0,40.989280588,21.8633249519,de,Spanish
856,15979.0,49.2531364473,30.3281644428,con,Spanish
1333,14805.0,34.6010532996,8.02991761267,jacket,English
2453,14204.0,16.8728799871,45.8859634954,top,English
2169,12449.0,13.7924593367,17.8875222714,shirt,English
1007,10999.0,29.9382289218,25.3514958742,dress,English
2557,10289.0,47.8368630352,19.0307962638,vestido,Spanish
2317,10282.0,22.1445122159,8.75898729001,sudadera,Spanish
2367,9807.0,12.1424117234,19.110998519,t,English
1663,9048.0,22.9298584299,5.82239382239,mujer,Spanish
1804,8627.0,36.4528441271,10.6217680374,pantalon,Spanish
1353,8075.0,21.2882275567,6.6384413022,jeans,English
2454,7919.0,27.980661314,22.7891450114,top,Spanish
1808,7821.0,19.8882434651,4.93812350044,pantalones,Spanish
1374,6896.0,37.8839951865,6.63874849579,jersey,Spanish
323,6700.0,8.14198557959,74.3205768164,and,English
2371,6031.0,38.487654321,46.5354938272,tacon,Spanish
1983,5897.0,11.7825722664,61.7616254713,print,English
2626,5867.0,26.1781830166,64.4512797979,y,Spanish
1446,5826.0,15.3801732435,56.073147257,lace,English
2354,5772.0,26.5719569603,24.2602555481,sweatshirt,English
908,5667.0,26.3880267605,39.0854541693,cropped,English
1549,5572.0,29.8925889358,16.6711545941,manga,Spanish
1354,5526.0,26.6087370551,6.57778835853,jeans,Spanish
720,5418.0,38.6398533855,8.94546535242,cazadora,Spanish
954,5387.0,36.1032232352,13.4185223933,denim,English
2532,5382.0,31.429769392,45.1320754717,up,English
662,5348.0,11.9583150596,3.72296361269,camisetas,Spanish
1078,5332.0,59.1839737145,13.0740749822,falda,Spanish
652,5278.0,33.1245560793,17.0400981468,camisa,Spanish
2320,5276.0,23.2154010437,5.31501218947,sudaderas,Spanish
552,5154.0,36.383875328,40.9795658742,botin,Spanish
605,5087.0,14.7115017195,97.1914405808,bsk,Spanish
2495,5051.0,16.3770512657,6.42539117161,trousers,English
1521,4922.0,20.6027293404,23.3225928734,long,English
1125,4806.0,16.7103538663,52.4901703801,floral,English
747,4786.0,32.9265583073,8.17993812918,chaqueta,Spanish
2305,4749.0,13.142554319,50.333863275,striped,English
821,4304.0,30.7253780139,8.79444217409,coat,English
925,4263.0,38.0844087159,22.5460122699,cuello,Spanish
2229,4258.0,45.9946998931,19.7963643126,skirt,English
2345,4250.0,32.590051458,14.5797598628,sweater,English
1274,4130.0,40.5793729277,24.0241987086,high,English
1287,4023.0,31.5246880087,8.08464460119,hombre,Spanish
535,4022.0,35.9908968811,15.005223101,boots,English
604,3865.0,0.0,100.0,bsk,English
1056,3862.0,24.9109233432,39.3158912756,estampado,Spanish
432,3835.0,11.6640746501,45.8786936236,belt,English
2422,3818.0,16.3391353172,42.8747894441,the,English
2580,3791.0,24.7057541412,41.3142981691,waist,English
2067,3788.0,30.228563879,50.0462412472,ribbed,English
1683,3776.0,38.5738244611,23.4548729735,neck,English
330,3761.0,26.2668415405,44.8432097293,ankle,English
1127,3630.0,25.8030141574,27.6297762216,flores,Spanish
2240,3615.0,21.2389380531,53.3185840708,sleeves,English
485,3544.0,33.6580300633,17.5237341772,blusa,Spanish
1573,3542.0,34.2153100384,71.5411028075,medio,Spanish
1642,3264.0,41.6978331849,9.68833481745,mono,Spanish
1828,3250.0,25.3119779896,31.9347548393,para,Spanish
321,3240.0,33.3095408042,77.0877944325,ancho,Spanish
478,3229.0,25.4022881592,30.0344154032,blouse,English
1050,3207.0,37.8622197922,43.8354291963,escote,Spanish
1456,3204.0,27.2986891386,15.0,larga,Spanish
1864,3135.0,40.7770508688,5.97951515383,pelo,Spanish
506,3121.0,49.4042393077,5.5920875813,body,Spanish
691,3099.0,40.9113179814,18.97966683,capucha,Spanish
258,3096.0,47.8565758137,13.6544059275,abrigo,Spanish
977,3076.0,13.1221719457,81.8738355071,detail,English
1268,3059.0,21.633941094,53.6290322581,heel,English
2414,3047.0,46.0183740683,10.5633558676,terciopelo,Spanish
2158,3043.0,6.58715098943,82.4884792627,set,English
2298,3037.0,6.20814013395,78.2328696548,strappy,English
2560,3028.0,35.0031881567,4.19727759142,vestidos,Spanish
1107,3007.0,26.0089020772,44.6142433234,fit,English
1297,2980.0,17.1643192488,55.9624413146,hooded,English
2258,2980.0,22.6165910029,30.7470078415,sneakers,English
362,2953.0,10.2616609784,67.1899886234,back,English
2280,2950.0,18.4842005227,70.0879068662,sports,English
1084,2834.0,28.7029665271,4.90498113469,faux,English
459,2810.0,36.7798986922,8.04166785908,black,English
1177,2800.0,28.9035195537,2.9926359779,fur,English
2185,2766.0,12.3099415205,20.2192982456,shorts,English
1037,2753.0,16.6763397175,53.2598181466,embroidered,English
1489,2715.0,21.5185783522,87.7221324717,lencero,Spanish
2237,2712.0,20.1149425287,19.982316534,sleeve,English
2533,2684.0,72.6444972288,35.4183161784,up,Spanish
2190,2643.0,20.207203718,25.5906274206,shoulder,English
1550,2639.0,34.2124277457,47.6697976879,mangas,Spanish
1470,2637.0,42.5789591102,8.40424514772,leather,English
1895,2625.0,48.4848484848,14.306736429,piel,Spanish
2176,2607.0,16.6982165986,5.19477931653,shoes,English
2040,2593.0,23.9029611131,18.5016054228,rayas,Spanish
373,2574.0,25.4639620199,18.5153215365,bag,English
441,2570.0,15.6803744567,85.9244399866,bershka,Spanish
955,2546.0,33.2340052585,14.8758399065,denim,Spanish
1108,2527.0,50.1445221445,23.5617715618,fit,Spanish
2023,2497.0,77.0689177968,34.5557708276,push,Spanish
440,2481.0,16.8503937008,78.1417322835,bershka,English
766,2479.0,0.0,100.0,chica,Spanish
1459,2459.0,44.7834645669,26.8919510061,largo,Spanish
1687,2446.0,6.94297782471,64.5723336853,neckline,English
1041,2431.0,39.972401104,55.9107635695,en,Spanish
1729,2411.0,9.03916973552,80.7164378976,of,English
