datetime,queries,add2cart
2018-11-20T00:00:00+00:00,11038,605
2018-11-20T01:00:00+00:00,5349,313
2018-11-20T02:00:00+00:00,2834,133
2018-11-20T03:00:00+00:00,2260,121
2018-11-20T04:00:00+00:00,1728,101
2018-11-20T05:00:00+00:00,2416,199
2018-11-20T06:00:00+00:00,4259,256
2018-11-20T07:00:00+00:00,9021,576
2018-11-20T08:00:00+00:00,12596,977
2018-11-20T09:00:00+00:00,17828,1250
2018-11-20T10:00:00+00:00,18717,1279
2018-11-20T11:00:00+00:00,21419,1441
2018-11-20T12:00:00+00:00,22437,1479
2018-11-20T13:00:00+00:00,25010,1709
2018-11-20T14:00:00+00:00,24751,1601
2018-11-20T15:00:00+00:00,23479,1430
2018-11-20T16:00:00+00:00,25034,1573
2018-11-20T17:00:00+00:00,25960,1670
2018-11-20T18:00:00+00:00,29704,1881
2018-11-20T19:00:00+00:00,34408,2107
2018-11-20T20:00:00+00:00,42375,2557
2018-11-20T21:00:00+00:00,44479,2773
2018-11-20T22:00:00+00:00,37609,2283
2018-11-20T23:00:00+00:00,23666,1505
2018-11-21T00:00:00+00:00,11146,655
2018-11-21T01:00:00+00:00,5986,331
2018-11-21T02:00:00+00:00,3120,216
2018-11-21T03:00:00+00:00,2209,139
2018-11-21T04:00:00+00:00,2195,108
2018-11-21T05:00:00+00:00,2708,177
2018-11-21T06:00:00+00:00,4920,359
2018-11-21T07:00:00+00:00,8603,659
2018-11-21T08:00:00+00:00,12496,884
2018-11-21T09:00:00+00:00,16470,1199
2018-11-21T10:00:00+00:00,18670,1360
2018-11-21T11:00:00+00:00,20489,1406
2018-11-21T12:00:00+00:00,22919,1604
2018-11-21T13:00:00+00:00,24265,1653
2018-11-21T14:00:00+00:00,22930,1749
2018-11-21T15:00:00+00:00,22724,1377
2018-11-21T16:00:00+00:00,28237,1523
2018-11-21T17:00:00+00:00,26838,1598
2018-11-21T18:00:00+00:00,29212,1564
2018-11-21T19:00:00+00:00,35657,2052
2018-11-21T20:00:00+00:00,42264,2462
2018-11-21T21:00:00+00:00,42015,2583
2018-11-21T22:00:00+00:00,40284,2490
2018-11-21T23:00:00+00:00,24842,1618
2018-11-22T00:00:00+00:00,12426,654
2018-11-22T01:00:00+00:00,6725,410
2018-11-22T02:00:00+00:00,4001,215
2018-11-22T03:00:00+00:00,2378,149
2018-11-22T04:00:00+00:00,1971,98
2018-11-22T05:00:00+00:00,2686,144
2018-11-22T06:00:00+00:00,5382,387
2018-11-22T07:00:00+00:00,10578,780
2018-11-22T08:00:00+00:00,15771,1098
2018-11-22T09:00:00+00:00,35897,1972
2018-11-22T10:00:00+00:00,23703,1556
2018-11-22T11:00:00+00:00,23301,1500
2018-11-22T12:00:00+00:00,25139,1544
2018-11-22T13:00:00+00:00,26889,1770
2018-11-22T14:00:00+00:00,26152,1540
2018-11-22T15:00:00+00:00,24017,1379
2018-11-22T16:00:00+00:00,28524,1600
2018-11-22T17:00:00+00:00,30215,1719
2018-11-22T18:00:00+00:00,3379,69
2018-11-22T19:00:00+00:00,286,20
2018-11-22T20:00:00+00:00,5562,1086
2018-11-22T21:00:00+00:00,262018,39106
2018-11-22T22:00:00+00:00,464751,44339
2018-11-22T23:00:00+00:00,220712,18414
2018-11-23T00:00:00+00:00,67259,5534
2018-11-23T01:00:00+00:00,29705,2200
2018-11-23T02:00:00+00:00,16046,1193
2018-11-23T03:00:00+00:00,10232,785
2018-11-23T04:00:00+00:00,9677,716
2018-11-23T05:00:00+00:00,13439,1133
2018-11-23T06:00:00+00:00,30425,2794
2018-11-23T07:00:00+00:00,54619,5309
2018-11-23T08:00:00+00:00,65616,5861
2018-11-23T09:00:00+00:00,83290,7171
2018-11-23T10:00:00+00:00,79002,6556
2018-11-23T11:00:00+00:00,73224,5786
2018-11-23T12:00:00+00:00,68145,5481
2018-11-23T13:00:00+00:00,67895,5447
2018-11-23T14:00:00+00:00,65244,5122
2018-11-23T15:00:00+00:00,60713,4473
2018-11-23T16:00:00+00:00,64624,4784
2018-11-23T17:00:00+00:00,65204,4630
2018-11-23T18:00:00+00:00,73223,5300
2018-11-23T19:00:00+00:00,80704,6055
2018-11-23T20:00:00+00:00,83149,6629
2018-11-23T21:00:00+00:00,85822,6369
2018-11-23T22:00:00+00:00,85533,6175
2018-11-23T23:00:00+00:00,65044,4969
2018-11-24T00:00:00+00:00,32929,2200
2018-11-24T01:00:00+00:00,12685,649
2018-11-24T02:00:00+00:00,5525,282
2018-11-24T03:00:00+00:00,3599,189
2018-11-24T04:00:00+00:00,2670,154
2018-11-24T05:00:00+00:00,2944,155
2018-11-24T06:00:00+00:00,6107,324
2018-11-24T07:00:00+00:00,11424,777
2018-11-24T08:00:00+00:00,19699,1146
2018-11-24T09:00:00+00:00,23831,1370
2018-11-24T10:00:00+00:00,26793,1610
2018-11-24T11:00:00+00:00,27375,1414
2018-11-24T12:00:00+00:00,27294,1507
2018-11-24T13:00:00+00:00,28289,1662
2018-11-24T14:00:00+00:00,29310,1645
2018-11-24T15:00:00+00:00,31722,1794
2018-11-24T16:00:00+00:00,31007,1889
2018-11-24T17:00:00+00:00,33807,1821
2018-11-24T18:00:00+00:00,34793,2048
2018-11-24T19:00:00+00:00,36632,1997
2018-11-24T20:00:00+00:00,40518,2119
2018-11-24T21:00:00+00:00,42702,2172
2018-11-24T22:00:00+00:00,41982,2122
2018-11-24T23:00:00+00:00,29419,1642
