,terms,csu_queries,csu_ctr,csu_find,nocsu_queries,nocsu_ctr,nocsu_find
0,body,10042.0,5832.0,5037.0,2518.0,508.0,467.0
1,terciopelo,9374.0,4790.0,2153.0,1882.0,298.0,198.0
3,jersey,6207.0,3608.0,1099.0,1135.0,345.0,198.0
7,abrigo pelo,5651.0,3201.0,2046.0,1331.0,58.0,31.0
2,pichi,5425.0,3091.0,2751.0,2057.0,458.0,438.0
4,lentejuelas,4544.0,2696.0,1960.0,834.0,56.0,42.0
12,abrigo,4232.0,2478.0,810.0,366.0,60.0,39.0
14,parka,4156.0,2240.0,1881.0,797.0,153.0,143.0
5,chaleco,3661.0,1786.0,1468.0,1835.0,253.0,232.0
6,pana,3551.0,1975.0,1822.0,819.0,150.0,142.0
15,biker,2923.0,1912.0,1158.0,876.0,236.0,187.0
16,camisa blanca,2706.0,1451.0,577.0,372.0,78.0,48.0
20,plumas,2623.0,1329.0,1059.0,715.0,101.0,95.0
24,vestidos,2569.0,1689.0,448.0,386.0,60.0,26.0
26,botines,2484.0,1108.0,669.0,659.0,34.0,20.0
29,cardigan,2439.0,1353.0,511.0,550.0,60.0,26.0
17,peto,2416.0,985.0,686.0,1321.0,78.0,50.0
34,jersey rayas,2357.0,1159.0,945.0,441.0,95.0,90.0
38,blazer,2124.0,1050.0,678.0,590.0,37.0,36.0
21,pendientes,2084.0,1058.0,462.0,534.0,163.0,92.0
32,mono,2064.0,1248.0,681.0,427.0,40.0,41.0
28,cazadora piel,2050.0,1344.0,723.0,545.0,339.0,281.0
18,top,2044.0,874.0,370.0,636.0,24.0,14.0
33,botin,2029.0,1032.0,617.0,414.0,141.0,73.0
37,premium,1985.0,1127.0,976.0,242.0,51.0,45.0
51,cazadora,1920.0,1177.0,593.0,514.0,114.0,95.0
43,chalecos,1908.0,1112.0,873.0,723.0,103.0,100.0
52,camisa,1908.0,970.0,236.0,213.0,77.0,13.0
36,pantalon pana,1886.0,854.0,804.0,548.0,61.0,60.0
41,jersey cuello alto,1797.0,972.0,746.0,295.0,59.0,48.0
23,botas,1795.0,892.0,774.0,598.0,113.0,104.0
31,top lencero,1791.0,1016.0,897.0,578.0,183.0,177.0
49,jersey negro,1757.0,1041.0,501.0,227.0,34.0,16.0
53,falda piel,1734.0,830.0,730.0,256.0,30.0,30.0
35,cashmere,1638.0,945.0,786.0,231.0,37.0,37.0
39,cuello alto,1632.0,949.0,567.0,401.0,29.0,28.0
71,chaqueta,1512.0,563.0,137.0,434.0,47.0,13.0
64,rojo,1481.0,890.0,295.0,366.0,6.0,6.0
25,pantalon cuadros,1480.0,854.0,764.0,345.0,43.0,37.0
46,jersey azul,1477.0,802.0,289.0,372.0,111.0,101.0
67,flare,1419.0,882.0,716.0,454.0,55.0,53.0
65,bolso,1401.0,762.0,234.0,245.0,12.0,12.0
56,falda cuadros,1372.0,666.0,593.0,257.0,26.0,25.0
70,militar,1328.0,786.0,692.0,223.0,23.0,23.0
80,jersey gris,1290.0,745.0,197.0,207.0,33.0,19.0
63,pantalon terciopelo,1287.0,742.0,691.0,252.0,74.0,76.0
47,trench,1261.0,636.0,582.0,329.0,49.0,49.0
48,pantalon,1258.0,715.0,179.0,108.0,16.0,16.0
60,tiro alto,1255.0,746.0,374.0,243.0,50.0,15.0
