,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
6,3,desktop,2016,23738.0,1230.0,1559.0,8.15576164324,2.27158576021,7.34660222039
7,3,desktop,2017,13701.0,1128.0,1592.0,4.57569590823,5.16458430057,13.3017259608
8,3,mobile,2016,1858.0,593.0,625.0,1.35339848753,28.8475064899,40.5862026217
9,3,mobile,2017,7035.0,1038.0,5578.0,1.18197841812,12.8404872777,83.8848178703
10,4,desktop,2016,28370.0,2826.0,3497.0,10.1467610363,10.1937711529,16.1121638402
11,4,desktop,2017,29466.0,4328.0,6071.0,8.43680214144,14.1697682139,25.3474582641
12,4,mobile,2016,7527.0,1941.0,2090.0,5.43715802337,26.8075590308,29.5757322725
13,4,mobile,2017,34873.0,6357.0,24231.0,7.0006806177,19.1026247328,72.1100311229
14,5,desktop,2016,28416.0,3300.0,4231.0,11.1572574411,10.5428374115,16.111079527
15,5,desktop,2017,34479.0,3770.0,6261.0,9.64940026771,10.8070588975,15.5274403892
16,5,mobile,2016,15926.0,5524.0,6160.0,12.2938792994,33.4787430096,34.1493907917
17,5,mobile,2017,56602.0,9007.0,45869.0,12.4350614557,15.9632621177,72.0738364557
18,6,desktop,2016,29170.0,4301.0,5425.0,10.4710155654,14.0647839298,17.3300621906
19,6,desktop,2017,38712.0,6079.0,9011.0,12.9867179685,17.5571039707,22.797067637
20,6,mobile,2016,17199.0,5983.0,6745.0,12.8755075506,38.0917346586,38.6260820772
21,6,mobile,2017,60535.0,11423.0,46413.0,10.5685879438,17.4745050907,77.8145033111
22,7,desktop,2016,22435.0,4058.0,4953.0,9.02160059106,15.7201814002,23.7524808866
23,7,desktop,2017,29102.0,6733.0,8634.0,8.51514742365,23.0090400815,27.8949746795
24,7,mobile,2016,12324.0,4272.0,4595.0,9.25283556285,30.4754673668,32.9790667918
25,7,mobile,2017,44414.0,11492.0,39555.0,8.34590808021,18.8925925833,81.6126547813
26,8,desktop,2016,22289.0,3510.0,4372.0,6.7784997304,13.7364160455,19.5961106048
27,8,desktop,2017,31044.0,7292.0,9596.0,9.06204380455,26.910316332,32.5665993358
28,8,mobile,2016,10645.0,3033.0,3249.0,6.60188340188,30.2103957646,28.6762021148
29,8,mobile,2017,42716.0,12384.0,32752.0,8.84907806235,28.4118584674,75.365720871
30,9,desktop,2016,16566.0,2295.0,3030.0,5.9696591733,13.7039806452,19.1924409413
31,9,desktop,2017,16950.0,3783.0,4624.0,5.13424732041,23.8920589759,27.4935689456
32,9,mobile,2016,7236.0,2384.0,2508.0,5.38337408238,34.0064222881,30.6055430845
