,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,2016,177065.0,25633.0,31424.0,62.3717541634,16.2867390106,18.5516241471
1,1,desktop,2017,226850.0,38236.0,52559.0,63.6816434269,16.3367973338,25.889715258
2,1,mobile,2016,92997.0,34665.0,36850.0,66.7526727119,35.5446504572,41.1372692151
3,1,mobile,2017,334004.0,79486.0,260469.0,63.8158502375,25.4044582623,77.5510270662
4,2,desktop,2016,56922.0,11091.0,13880.0,18.1380646847,18.7564702066,23.4553241166
5,2,desktop,2017,64847.0,14193.0,18958.0,20.061138473,23.6172645144,25.927652624
6,2,mobile,2016,31725.0,14772.0,15390.0,25.633270137,46.6322657438,44.3212463514
7,2,mobile,2017,124419.0,37853.0,79762.0,27.9132073146,30.8537666875,63.2585210982
8,3,desktop,2016,21834.0,4986.0,6463.0,8.55430220425,20.4232667899,26.8535410097
9,3,desktop,2017,23925.0,5674.0,7837.0,7.78026146361,25.6025573746,35.3789216655
10,3,mobile,2016,9747.0,5562.0,5758.0,8.46817487268,61.2248691502,64.1880127859
11,3,mobile,2017,38478.0,11187.0,21076.0,9.22233885619,28.9719922233,61.7097291453
12,4,desktop,2016,9193.0,2419.0,3157.0,4.17107016005,25.8923159517,33.822999575
13,4,desktop,2017,7590.0,1792.0,2612.0,2.44932961703,27.1083646399,31.3167004756
14,4,mobile,2016,2548.0,1463.0,1505.0,1.94912412682,69.1389494166,57.2300467404
15,4,mobile,2017,8995.0,2869.0,4129.0,1.88492559598,38.0492759487,44.7121998271
16,5,desktop,2016,5634.0,1869.0,2250.0,2.43520256827,36.5050220623,36.8359266926
17,5,desktop,2017,5777.0,1616.0,2274.0,2.0426320188,28.1010420701,41.2176792851
18,5,mobile,2016,1284.0,829.0,846.0,1.09328249281,63.0348612141,65.559590603
19,5,mobile,2017,4174.0,1283.0,1792.0,0.783078847981,31.2905552448,42.6876424278
