,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
6,3,desktop,2016,43895.0,2830.0,3732.0,8.28621776322,5.74272739739,8.35294605834
7,3,desktop,2017,29918.0,2856.0,4223.0,3.98556107609,9.31556485253,13.5061346002
8,3,mobile,2016,21132.0,5856.0,6651.0,6.57750686927,28.8075217741,32.2823776516
9,3,mobile,2017,32350.0,4787.0,22711.0,3.64263025025,14.3930525682,70.6866144611
10,4,desktop,2016,92586.0,10823.0,13805.0,22.1505246811,12.0316226533,15.788484409
11,4,desktop,2017,86228.0,11226.0,15136.0,15.5270290317,13.630668699,16.6629763805
12,4,mobile,2016,31158.0,9287.0,10185.0,11.5867743982,30.5860079274,30.6201191218
13,4,mobile,2017,77074.0,15037.0,44312.0,9.13231362572,20.1886197804,53.034382004
14,5,desktop,2016,45614.0,4995.0,6495.0,9.57443387366,10.856217334,13.231953499
15,5,desktop,2017,54046.0,6251.0,9490.0,7.66753387434,12.3149532079,17.3494166392
16,5,mobile,2016,41784.0,10410.0,11983.0,12.6865330062,22.232658804,30.6854948366
17,5,mobile,2017,94389.0,14310.0,63206.0,12.117674337,13.2998173274,67.4949368231
18,6,desktop,2016,45718.0,7672.0,9026.0,11.5939382243,15.8305499138,20.0550802169
19,6,desktop,2017,71021.0,12715.0,17718.0,12.4978969089,17.0496200887,24.2627225079
20,6,mobile,2016,34192.0,10094.0,10757.0,14.2023862177,29.9581539756,29.3443625766
21,6,mobile,2017,92884.0,22240.0,65049.0,12.4000262002,26.2745081774,66.0683714767
22,7,desktop,2016,35662.0,6204.0,7475.0,8.55762013962,20.875043168,21.5564789439
23,7,desktop,2017,50432.0,10176.0,12996.0,8.19628341028,21.5463145086,27.734647825
24,7,mobile,2016,23026.0,6166.0,6744.0,8.81076936154,29.1658312569,34.9263496369
25,7,mobile,2017,67739.0,16756.0,45917.0,10.1441348613,24.9207885521,74.3035112815
26,8,desktop,2016,40253.0,9546.0,10943.0,9.38698537936,23.0428845744,29.6192447185
27,8,desktop,2017,72035.0,23338.0,26934.0,10.0304751539,24.7653379995,37.0549829153
28,8,mobile,2016,25027.0,8403.0,8804.0,7.76906081148,36.596388763,32.3966693688
29,8,mobile,2017,87424.0,28403.0,60658.0,11.664897129,36.9659557794,68.4397698916
30,9,desktop,2016,19459.0,2709.0,3280.0,4.85610824667,14.0835473186,18.3340797839
31,9,desktop,2017,27174.0,5387.0,6599.0,4.84021850279,20.4036838642,26.9123099285
32,9,mobile,2016,13485.0,3710.0,4020.0,5.07167826913,31.1563463457,29.131773087
33,9,mobile,2017,36154.0,9528.0,21040.0,4.85010611902,30.4597136445,62.1958346951
34,10,desktop,2016,16886.0,2489.0,3119.0,4.46021797571,17.738304858,18.4518821327
35,10,desktop,2017,24982.0,4790.0,6223.0,4.15823810931,18.8515882162,22.8039038408
36,10,mobile,2016,13109.0,3988.0,4263.0,4.39634857911,28.6317521743,34.676069756
37,10,mobile,2017,36294.0,9035.0,20596.0,4.65771015898,24.7440377311,67.9777280909
38,11,desktop,2016,15447.0,2443.0,3212.0,2.99102539802,16.3274022079,21.5181640632
39,11,desktop,2017,25810.0,4919.0,6601.0,4.15435794378,19.8471474924,26.1957086507
