,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,2016,285113.0,37498.0,46373.0,72.28709245,13.4506634367,17.1901981644
1,1,desktop,2017,373693.0,58531.0,78131.0,70.0353588784,16.4745437695,21.2550122617
2,1,mobile,2016,177270.0,49664.0,54496.0,75.8650221708,29.3941285697,32.2201474406
3,1,mobile,2017,445846.0,96165.0,296820.0,63.9102225957,23.8933564486,67.9065668843
4,2,desktop,2016,98302.0,18123.0,22033.0,23.4004439288,19.2474169259,23.1154929838
5,2,desktop,2017,156693.0,37846.0,47430.0,27.0539959096,22.2939821995,32.3301242998
6,2,mobile,2016,66211.0,23906.0,25247.0,29.9018612471,34.6769315802,39.1613183229
7,2,mobile,2017,220254.0,70808.0,140163.0,34.0449369708,34.1938400958,65.0451110507
8,3,desktop,2016,26718.0,5151.0,6303.0,6.18200929832,17.8734713183,22.7815872049
9,3,desktop,2017,39839.0,8605.0,11340.0,5.93375081477,27.7988608272,29.6916190516
10,3,mobile,2016,16938.0,6601.0,6953.0,5.13453956862,43.2303169063,41.1148164501
11,3,mobile,2017,57854.0,18277.0,32069.0,6.52666037953,30.6463018011,57.949425091
12,4,desktop,2016,8905.0,2157.0,2559.0,1.50666648653,22.6828846622,30.324574577
13,4,desktop,2017,12088.0,2592.0,3422.0,1.99027741539,23.7341266234,28.5425986155
14,4,mobile,2016,4828.0,2030.0,2122.0,1.71156258609,44.0492572931,46.7003923321
15,4,mobile,2017,15880.0,4599.0,7058.0,1.99153486689,32.9477953057,45.8230574183
16,5,desktop,2016,5800.0,1727.0,1899.0,1.31181505444,28.8783517395,32.4794142802
17,5,desktop,2017,8898.0,2226.0,2973.0,1.41717434891,28.9877887854,35.4979133012
18,5,mobile,2016,1919.0,836.0,850.0,0.663464333361,50.1642520441,49.0732828397
19,5,mobile,2017,7821.0,1961.0,2732.0,0.972636234972,27.8433792121,41.2522924038
