,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
6,3,desktop,2016,46297.0,3161.0,3981.0,7.86064468906,5.90923350499,8.34066788321
7,3,desktop,2017,41898.0,3943.0,6059.0,4.4688822322,8.76679117629,13.7110487786
8,3,mobile,2016,9899.0,4896.0,5306.0,2.39786991538,44.8395319416,50.224359069
9,3,mobile,2017,21267.0,3935.0,19774.0,2.00904614446,16.2041467365,90.1232504119
10,4,desktop,2016,86642.0,16419.0,19748.0,14.8338349906,18.5434343159,22.2528703333
11,4,desktop,2017,112133.0,22669.0,29467.0,13.2498782729,17.7145477249,26.084469414
12,4,mobile,2016,33450.0,15453.0,16446.0,7.83821728546,40.0169876351,48.2919293599
13,4,mobile,2017,79446.0,21440.0,60623.0,7.7322573437,23.5426644458,78.7317135653
14,5,desktop,2016,56161.0,7827.0,9376.0,8.63532569733,15.0816776476,16.147261953
15,5,desktop,2017,80758.0,14764.0,19567.0,6.826738285,19.3842832771,25.5729119353
16,5,mobile,2016,36822.0,15883.0,16778.0,6.5770270939,42.9933067824,43.9336388164
17,5,mobile,2017,87254.0,23738.0,68303.0,8.2302621128,27.159441471,75.9263010129
18,6,desktop,2016,64166.0,11899.0,13832.0,10.7918420578,18.0070796239,19.0516921686
19,6,desktop,2017,99249.0,22866.0,28280.0,9.72819138968,23.6323790937,25.5639411839
20,6,mobile,2016,49130.0,20004.0,21058.0,13.1319046605,36.7104920381,34.6253998863
21,6,mobile,2017,113706.0,35202.0,85300.0,12.2523104431,25.6177345601,66.3969585896
22,7,desktop,2016,64084.0,12745.0,15140.0,12.3864341074,21.5523478729,19.7510502513
23,7,desktop,2017,99196.0,22779.0,28230.0,12.7141553501,24.7677913568,25.145510476
24,7,mobile,2016,49832.0,17126.0,18364.0,13.4182168521,33.4318718407,34.5942639586
25,7,mobile,2017,118755.0,32764.0,84943.0,12.29111298,25.000649384,69.187004526
26,8,desktop,2016,56433.0,9940.0,11975.0,8.93537465538,18.3669341879,20.9264362006
27,8,desktop,2017,94730.0,18070.0,24569.0,10.3068964501,18.2720220606,23.8642396934
28,8,mobile,2016,45446.0,17713.0,19472.0,11.6461970712,43.9912121375,47.353981644
29,8,mobile,2017,96292.0,25148.0,71509.0,10.8455650222,21.9560400612,79.8661558025
30,9,desktop,2016,31488.0,4525.0,5668.0,6.26492916925,12.6824693671,17.6475846123
31,9,desktop,2017,52260.0,8219.0,11440.0,6.51879795729,13.9137687501,22.6848908616
32,9,mobile,2016,30121.0,10886.0,12048.0,7.03534188573,35.0878706454,43.2879941204
33,9,mobile,2017,65271.0,16546.0,44928.0,6.57052777919,22.9471445833,69.1764367546
34,10,desktop,2016,22478.0,3050.0,3697.0,3.70196352044,14.9068619452,18.9752861733
35,10,desktop,2017,32733.0,5669.0,7411.0,3.83444296151,16.3205712237,23.4303543407
36,10,mobile,2016,18721.0,6719.0,7178.0,4.56929543535,37.690908824,38.3854097866
37,10,mobile,2017,44030.0,11121.0,26594.0,3.658746775,27.1887465571,62.4812705307
38,11,desktop,2016,17569.0,2181.0,2769.0,2.88424082607,12.4845876071,16.7321832478
39,11,desktop,2017,22829.0,4585.0,5667.0,1.94985920357,15.465338005,24.063893259
40,11,mobile,2016,8991.0,3683.0,3892.0,2.22253009699,34.87464347,41.9036802964
41,11,mobile,2017,26324.0,8970.0,15687.0,2.59159818869,27.5574731788,56.2717551334
42,12,desktop,2016,18645.0,3160.0,3900.0,2.94672096511,17.129676197,24.3260799162
43,12,desktop,2017,27993.0,6122.0,8103.0,2.67986592542,23.2528028297,29.8952530105
44,12,mobile,2016,12725.0,5669.0,5908.0,2.4695752967,47.4980065132,48.3633666014
45,12,mobile,2017,34689.0,12511.0,21499.0,3.36455110548,37.5894994892,67.88438811
46,13,desktop,2016,14743.0,2405.0,3084.0,2.29507398179,15.1199279451,22.0320850386
47,13,desktop,2017,25889.0,5648.0,7324.0,2.92495960199,20.7570174782,30.2265000162
48,13,mobile,2016,13021.0,5910.0,6214.0,3.87480626168,45.921698849,49.3268271674
49,13,mobile,2017,38798.0,13714.0,24347.0,4.89122438806,38.1754584,68.3997023374
50,14,desktop,2016,16055.0,2803.0,3595.0,2.87997872862,16.9593271794,22.0538418589
51,14,desktop,2017,25850.0,4899.0,6712.0,2.92918662712,17.5192146304,27.458561599
52,14,mobile,2016,15245.0,6606.0,6994.0,4.06261447858,37.6251077119,44.965727252
53,14,mobile,2017,40382.0,12871.0,23295.0,4.01820368756,29.2345022983,57.1465472415
54,15,desktop,2016,13282.0,2430.0,3221.0,2.13215109373,16.0673562307,23.4367129429
55,15,desktop,2017,20625.0,3924.0,5454.0,2.26850121509,17.4818748731,27.0505599655
56,15,mobile,2016,14302.0,6397.0,6853.0,3.36068381153,41.3528736006,49.9471451677
57,15,mobile,2017,33215.0,10578.0,18690.0,3.25291757566,30.4236103117,60.8169281212
58,16,desktop,2016,11866.0,2122.0,2848.0,1.84788540398,16.1712316427,26.9925564409
59,16,desktop,2017,20296.0,4160.0,5879.0,2.28010811038,20.1806907605,32.0488361401
60,16,mobile,2016,12677.0,5539.0,5940.0,2.84899047887,44.6238043481,49.1615554472
61,16,mobile,2017,33092.0,10828.0,18827.0,3.37767526363,34.0970064025,62.5005973823
62,17,desktop,2016,9566.0,1598.0,2169.0,1.45613952494,18.1520168173,27.8885662688
63,17,desktop,2017,16582.0,2885.0,4187.0,1.8516320938,18.8730174041,28.9071268667
64,17,mobile,2016,10387.0,3945.0,4294.0,2.53751048055,32.7680758426,48.2189106445
65,17,mobile,2017,25061.0,7500.0,12893.0,2.55142280322,28.8198988852,49.6259977651
66,18,desktop,2016,7542.0,1347.0,1749.0,1.44094409186,18.4626912817,23.0682684805
67,18,desktop,2017,11041.0,2176.0,3036.0,1.22294539272,18.2990901101,26.2961743379
68,18,mobile,2016,6973.0,3191.0,3376.0,1.96612993989,41.5892063453,55.9308373102
69,18,mobile,2017,17552.0,5810.0,9083.0,2.10824913151,31.246911089,56.0443940991
70,19,desktop,2016,5518.0,882.0,1171.0,1.25143134884,13.9298201782,24.8488280554
71,19,desktop,2017,8694.0,1685.0,2305.0,1.16278430926,16.4680865295,27.5561780964
72,19,mobile,2016,4628.0,1993.0,2103.0,1.40286409738,36.6090192547,47.8132428656
73,19,mobile,2017,13605.0,4778.0,6793.0,1.58015232203,29.6686460518,50.4642637327
