,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,2016,386838.0,61642.0,74123.0,65.9724575592,16.0486091726,19.5141687224
1,1,desktop,2017,607826.0,108795.0,141953.0,64.5353703289,21.2270949746,25.3870577759
2,1,mobile,2016,262590.0,102011.0,109819.0,69.9355722257,41.9001720117,46.956941726
3,1,mobile,2017,593520.0,156086.0,437027.0,63.8129075543,30.0470150853,75.2208534113
4,2,desktop,2016,124412.0,22016.0,27684.0,19.1974245022,20.9849925272,22.4220613659
5,2,desktop,2017,188176.0,38885.0,51890.0,21.2771631097,20.6863907338,24.8663665525
6,2,mobile,2016,88219.0,40268.0,42608.0,21.3944391781,49.4792486689,47.5784903086
7,2,mobile,2017,242886.0,82371.0,148389.0,24.1720858977,35.7548325513,64.8532685623
8,3,desktop,2016,44647.0,7646.0,9908.0,7.79690716807,17.3073157915,25.7811208567
9,3,desktop,2017,63567.0,13128.0,18363.0,7.32896483145,21.6870579688,30.1175625376
10,3,mobile,2016,35843.0,15649.0,16551.0,8.6905128402,43.0851802385,45.9009769175
11,3,mobile,2017,97700.0,34454.0,50850.0,9.65606355823,30.3596504663,55.6693428456
12,4,desktop,2016,15513.0,3455.0,4336.0,2.42318174142,18.9495760138,30.7904648088
13,4,desktop,2017,18166.0,4057.0,5683.0,2.12227824237,21.1592321238,36.6636065263
14,4,mobile,2016,9425.0,4470.0,4781.0,2.60887574526,46.7881991633,46.9904772039
15,4,mobile,2017,25661.0,9315.0,12181.0,2.3702061848,36.4132682872,43.8152695736
16,5,desktop,2016,8570.0,2166.0,2553.0,1.40992572583,26.2963890789,27.25718991
17,5,desktop,2017,8075.0,1694.0,2360.0,0.794444044578,24.5538768701,27.0754501264
18,5,mobile,2016,4750.0,2332.0,2496.0,1.03554930751,51.5538339996,52.133238209
19,5,mobile,2017,10109.0,3151.0,3991.0,0.997135683412,25.2204137089,40.9008329812
