,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
6,3,desktop,2016,52128.0,2976.0,4038.0,7.50927745963,6.40716202397,7.97603818028
7,3,desktop,2017,36132.0,2241.0,3548.0,3.55687547645,7.19571144494,8.48992373053
8,3,mobile,2016,9546.0,3880.0,4191.0,3.2925684427,41.2245211473,43.2484046922
9,3,mobile,2017,18233.0,3264.0,16191.0,2.2694544272,17.1620216543,84.1424933285
10,4,desktop,2016,73937.0,9107.0,11672.0,11.8881317518,10.7475252894,17.6959731574
11,4,desktop,2017,87333.0,10506.0,15005.0,11.0201317671,10.8065963453,18.5563437681
12,4,mobile,2016,33770.0,12518.0,13940.0,11.330903657,31.6619961927,35.9728356837
13,4,mobile,2017,78790.0,15372.0,57719.0,10.4372524828,22.9612906776,66.9575400688
14,5,desktop,2016,63858.0,7434.0,9677.0,10.887007477,11.7171616851,13.3395800455
15,5,desktop,2017,97557.0,10093.0,17103.0,13.2115824967,10.8636086583,15.5783902377
16,5,mobile,2016,32925.0,12027.0,13430.0,10.773293233,38.8624032174,39.5012469827
17,5,mobile,2017,98695.0,15032.0,69979.0,11.0059863905,14.4456660815,68.6091943525
18,6,desktop,2016,67247.0,14974.0,16843.0,8.47079386699,24.2286745083,25.0104628003
19,6,desktop,2017,64164.0,13849.0,16793.0,8.19200717338,22.319443497,25.8331425903
20,6,mobile,2016,31154.0,15089.0,15629.0,10.7150499922,50.929526499,50.3728811782
21,6,mobile,2017,60211.0,19138.0,41245.0,7.15202976756,29.0076178173,64.9294907648
22,7,desktop,2016,56088.0,9616.0,11469.0,8.06381996785,16.8791169331,20.6802268951
23,7,desktop,2017,64256.0,10991.0,14195.0,7.18940599128,17.1219155579,22.9530753811
24,7,mobile,2016,25842.0,10639.0,11329.0,9.92301761836,41.9337625955,44.9551877843
25,7,mobile,2017,61262.0,14810.0,40764.0,7.8291003263,24.7379659984,70.0264628359
26,8,desktop,2016,38265.0,5964.0,7287.0,7.1469676969,14.0659318078,19.5957581381
27,8,desktop,2017,56834.0,9754.0,12522.0,6.99995907051,16.0776166765,22.1728330201
28,8,mobile,2016,15304.0,5722.0,6172.0,6.44631753094,37.922211608,41.5794630827
29,8,mobile,2017,62619.0,13612.0,32662.0,7.8012776675,22.3229291791,54.3788682612
30,9,desktop,2016,41489.0,6664.0,8330.0,6.95125893576,17.0563942129,19.435476529
31,9,desktop,2017,56854.0,11905.0,14812.0,5.91049171155,21.2821340107,27.8817552778
32,9,mobile,2016,18050.0,6861.0,7257.0,6.23741657765,37.0057022616,43.797722412
33,9,mobile,2017,58582.0,14910.0,37206.0,7.65654785481,22.5587858319,68.5702802309
34,10,desktop,2016,30502.0,5330.0,6623.0,5.08128931557,15.1717011906,23.0314793251
35,10,desktop,2017,46866.0,9307.0,12318.0,6.51599577844,22.6501434119,26.6984974913
36,10,mobile,2016,17336.0,7975.0,8510.0,6.27413079859,50.8787388851,48.4132974273
37,10,mobile,2017,56815.0,16645.0,38756.0,5.8149015325,31.1534435238,65.0455158154
38,11,desktop,2016,29288.0,5393.0,6605.0,5.27118669063,19.7610855283,25.0922781462
39,11,desktop,2017,45207.0,8449.0,11561.0,4.53251254716,20.6703753296,28.3887493002
40,11,mobile,2016,18810.0,8451.0,8879.0,7.79250913606,46.6764229033,50.5251642942
41,11,mobile,2017,62090.0,17794.0,42921.0,8.49435715504,26.461977647,75.9218811282
42,12,desktop,2016,24759.0,5306.0,6557.0,4.01790334645,17.9249225684,26.0271338889
43,12,desktop,2017,32283.0,6714.0,8774.0,3.89695366215,20.2720167882,25.4223897335
44,12,mobile,2016,12830.0,6135.0,6383.0,4.69252123274,49.2078723446,45.5686383293
45,12,mobile,2017,37837.0,11561.0,23478.0,5.1622628247,25.2029694166,63.9438219087
46,13,desktop,2016,20068.0,3634.0,4948.0,2.89097261536,15.1701884888,26.3945193641
47,13,desktop,2017,33000.0,6131.0,8715.0,4.31253652825,20.1823800284,26.2689686174
48,13,mobile,2016,11188.0,5294.0,5550.0,4.3482115161,46.685254352,52.6018849309
49,13,mobile,2017,45669.0,12291.0,24768.0,5.48251696088,27.4248063436,56.3275094209
50,14,desktop,2016,17362.0,2993.0,4037.0,2.80692840557,15.4585158809,25.0585342118
51,14,desktop,2017,29292.0,5394.0,7742.0,3.55083236756,17.9032726273,31.527193948
52,14,mobile,2016,9310.0,4237.0,4445.0,3.48406242351,43.69390861,53.3478588371
53,14,mobile,2017,40919.0,11434.0,23739.0,4.92159730294,30.2417787012,62.464721762
54,15,desktop,2016,16784.0,2560.0,3416.0,2.62211023814,17.8493949462,22.2489533207
55,15,desktop,2017,33502.0,5733.0,8046.0,4.21957577847,20.2911760185,24.4184969198
56,15,mobile,2016,11750.0,3354.0,3542.0,4.21707042335,33.4242914502,49.8686055152
57,15,mobile,2017,47868.0,11338.0,24789.0,5.32690861612,25.2898481644,55.3610565521
58,16,desktop,2016,11265.0,1989.0,2648.0,1.88999539273,17.1050418143,25.8373136092
59,16,desktop,2017,20732.0,3756.0,6062.0,2.24933210591,17.9121464513,31.9368434603
60,16,mobile,2016,5408.0,2434.0,2586.0,1.76370208963,49.0803409049,50.5400164225
61,16,mobile,2017,23141.0,6855.0,13995.0,2.55927324264,33.5193847915,61.259570074
62,17,desktop,2016,12003.0,2681.0,3355.0,1.94468927674,24.1870620647,29.9916898148
63,17,desktop,2017,15491.0,3279.0,4682.0,1.60282218312,21.8039753229,33.5480221818
64,17,mobile,2016,5895.0,2824.0,2927.0,2.09318589163,47.6380311917,55.0390623862
65,17,mobile,2017,20552.0,7369.0,13282.0,2.41742598524,36.7853754023,68.7762745461
66,18,desktop,2016,10475.0,2512.0,3161.0,1.71268684062,24.8934875303,27.7696064568
67,18,desktop,2017,14791.0,3576.0,4770.0,1.47161696292,20.8891451926,33.4024497285
68,18,mobile,2016,5255.0,2654.0,2744.0,1.63543713965,42.515497766,56.081630878
69,18,mobile,2017,18761.0,6107.0,11306.0,2.23897113109,30.1896540505,59.3006015846
70,19,desktop,2016,6700.0,1622.0,2075.0,0.935850588966,22.9942067413,26.3153353699
71,19,desktop,2017,8390.0,1402.0,2153.0,1.06933324233,13.7607902366,23.2739810412
72,19,mobile,2016,3341.0,1592.0,1696.0,1.18012810673,43.7548172957,51.0181226424
73,19,mobile,2017,10957.0,3201.0,5004.0,1.02125551829,24.8260667583,44.6937950557
74,20,desktop,2016,5548.0,1171.0,1573.0,0.757111117408,17.4570406873,26.7777056092
75,20,desktop,2017,8324.0,1635.0,2398.0,1.00514837405,14.9217773917,31.0542134975
76,20,mobile,2016,2422.0,1232.0,1284.0,0.751232538791,45.8485718814,52.4943907188
77,20,mobile,2017,10054.0,2933.0,4911.0,1.05092487807,27.4858524392,50.3260387876
78,21,desktop,2016,5012.0,1129.0,1488.0,0.829572844629,24.6900859083,32.9345698746
79,21,desktop,2017,7305.0,1313.0,2112.0,0.887491396857,17.1286799067,32.9134727509
80,21,mobile,2016,2423.0,1260.0,1320.0,0.947097997935,46.1348202913,61.5566507335
81,21,mobile,2017,10190.0,2905.0,5104.0,1.31464462637,25.9137922353,57.0462702256
82,22,desktop,2016,3843.0,958.0,1185.0,0.700680365688,23.5166155197,28.6659202862
83,22,desktop,2017,5439.0,1038.0,1580.0,0.756554825575,16.5503043538,27.9880102091
84,22,mobile,2016,1456.0,728.0,757.0,0.531625848193,41.3037536466,48.3860719156
85,22,mobile,2017,6429.0,2158.0,3508.0,0.838571990427,34.4301823768,50.8312586752
86,23,desktop,2016,3619.0,898.0,1142.0,0.696754925618,27.7093221159,33.4590855673
87,23,desktop,2017,5090.0,1068.0,1593.0,0.687138258794,24.0601225764,33.2155225477
88,23,mobile,2016,1571.0,875.0,924.0,0.585102275962,42.1552094138,56.843334208
89,23,mobile,2017,5834.0,2022.0,3299.0,0.745956319808,31.7742120121,58.9671114551
90,24,desktop,2016,4194.0,1407.0,1680.0,0.62914635618,32.4893276488,38.680275968
91,24,desktop,2017,5515.0,1435.0,2080.0,0.646292659259,24.8030857368,38.2438451067
92,24,mobile,2016,1377.0,888.0,928.0,0.48309439374,43.4498883358,72.8505746054
93,24,mobile,2017,5549.0,2229.0,3600.0,0.634143451581,41.4286312441,67.0836885753
94,25,desktop,2016,2273.0,555.0,705.0,0.339310935551,24.607443244,34.4535440719
95,25,desktop,2017,3133.0,678.0,1076.0,0.311052324066,20.0540305514,39.1930734379
96,25,mobile,2016,803.0,410.0,434.0,0.285435130419,46.576607394,58.6800121116
97,25,mobile,2017,3396.0,1089.0,1648.0,0.350171965244,28.5443141352,48.6019037003
98,26,desktop,2016,2082.0,520.0,657.0,0.297560454374,26.5135766341,29.1919887598
99,26,desktop,2017,2852.0,596.0,1004.0,0.320317074267,21.6852370309,32.6097078638
100,26,mobile,2016,714.0,404.0,431.0,0.234379210863,57.1362196289,60.4596387427
101,26,mobile,2017,2885.0,980.0,1568.0,0.339451289925,38.266809724,58.290285245
102,27,desktop,2016,1731.0,428.0,533.0,0.283294956863,24.8547763551,31.1398640513
103,27,desktop,2017,2307.0,484.0,711.0,0.319298872936,22.1341557852,29.0121980293
104,27,mobile,2016,598.0,311.0,335.0,0.211679054464,50.952913684,63.0127078958
105,27,mobile,2017,2428.0,837.0,1063.0,0.290732115912,34.7645282242,50.334657223
106,28,desktop,2016,1833.0,670.0,787.0,0.284157793526,33.8792496493,42.9993934823
107,28,desktop,2017,1667.0,285.0,452.0,0.168407545196,17.5120358849,26.7380211096
108,28,mobile,2016,558.0,308.0,317.0,0.19601082594,55.1560211749,61.4108113882
109,28,mobile,2017,1730.0,463.0,604.0,0.220497075912,23.3850580694,37.0991962198
110,29,desktop,2016,1318.0,415.0,508.0,0.220398427863,26.1212976867,43.2986022578
111,29,desktop,2017,1675.0,399.0,582.0,0.157608920915,22.9888492109,37.5962984032
112,29,mobile,2016,400.0,196.0,206.0,0.122232998542,47.7160959295,56.2223747349
113,29,mobile,2017,1404.0,524.0,655.0,0.147387256206,35.6542369855,47.6603712985
114,30,desktop,2016,7887.0,2911.0,3308.0,1.38781363654,39.1313334305,40.9170218889
115,30,desktop,2017,9255.0,2282.0,3329.0,1.29837583547,24.0675274211,36.0771748668
116,30,mobile,2016,1806.0,996.0,1034.0,0.704802498952,54.8842181349,56.5135684744
117,30,mobile,2017,6351.0,2114.0,2698.0,0.740874876312,35.9549607954,43.1774834854
