,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,2016,344318.0,52596.0,63884.0,61.519841677,13.3850784563,15.9924696713
1,1,desktop,2017,467627.0,66902.0,90001.0,59.5116567529,15.6155746848,16.1183734823
2,1,mobile,2016,163797.0,65236.0,70392.0,63.3582808594,42.5804744599,37.1911190965
3,1,mobile,2017,432013.0,95684.0,296430.0,51.8950521386,24.0001915521,63.712732776
4,2,desktop,2016,152546.0,24884.0,31227.0,28.8568795804,15.3362131047,19.7930375408
5,2,desktop,2017,208511.0,37582.0,52419.0,28.1172780582,17.4296019302,24.1140757757
6,2,mobile,2016,68946.0,31502.0,33168.0,28.5288220597,50.9302063259,42.8519590674
7,2,mobile,2017,239309.0,69220.0,152165.0,29.1393810053,31.9722782024,58.1410173869
8,3,desktop,2016,74947.0,14054.0,18505.0,10.0973694719,23.5987153097,24.6954451393
9,3,desktop,2017,109171.0,21168.0,29814.0,12.9500103453,20.1268788236,31.2065856034
10,3,mobile,2016,36550.0,15775.0,16517.0,12.106654606,42.9408796973,52.645781862
11,3,mobile,2017,140501.0,39760.0,75933.0,14.1692735773,25.8319161109,58.4045469748
12,4,desktop,2016,25310.0,5938.0,7547.0,3.87761219948,22.1306996823,33.5387875277
13,4,desktop,2017,30406.0,5845.0,8854.0,4.06454172318,17.6861366685,31.7604845642
14,4,mobile,2016,8894.0,4864.0,5108.0,3.05134342986,53.0326735556,66.8440598434
15,4,mobile,2017,33477.0,10396.0,16334.0,4.71951526747,31.3856179058,54.5153288813
16,5,desktop,2016,14437.0,4345.0,5144.0,2.71553140367,31.3987209488,38.0742041551
17,5,desktop,2017,16686.0,3088.0,5083.0,1.90284907794,17.7343573128,32.2309376961
18,5,mobile,2016,3655.0,1917.0,1995.0,1.26065631476,50.6244315135,60.8104569346
19,5,mobile,2017,14791.0,4011.0,5844.0,1.79223036592,27.2454893146,43.640722979
