,term_length,scope,year,query_count,first_page_count,click_count,perc_query_count,findability,ctr
1,1,desktop,2016,1725023.0,253409.0,305856.0,66.1107849109,15.8519815747,17.6320339921
2,1,desktop,2017,2694752.0,461792.0,607594.0,65.7043775871,17.2469066991,21.428458141
3,1,mobile,2016,1083262.0,376932.0,450827.0,61.0747788255,33.4164801781,34.2486850034
4,1,mobile,2017,2903035.0,707416.0,2083655.0,64.7953643729,23.6775396424,64.2746759978
5,2,desktop,2016,588989.0,98565.0,122196.0,24.2472614066,17.4358264346,19.0803455141
6,2,desktop,2017,910437.0,192881.0,254082.0,27.350377798,21.1301813187,27.0983668589
7,2,mobile,2016,385543.0,155448.0,191063.0,24.8473636842,39.456259582,52.6511109903
8,2,mobile,2017,1238348.0,394375.0,783589.0,26.0263155925,32.9259275748,66.1256660691
9,3,desktop,2016,223795.0,39437.0,51037.0,9.00038662112,16.5861697859,23.8435885437
10,3,desktop,2017,333542.0,68888.0,94993.0,7.60832851942,18.8571057201,33.6820895207
11,3,mobile,2016,147449.0,61183.0,74013.0,6.98512737055,40.2802799173,56.3578694128
12,3,mobile,2017,478837.0,150946.0,255648.0,9.28677004868,32.2475144149,56.3943880761
13,4,desktop,2016,79133.0,17669.0,22201.0,2.69873815297,19.5939508132,29.3922516699
14,4,desktop,2017,98637.0,21028.0,30066.0,2.3688343657,19.2101905936,30.7461564341
15,4,mobile,2016,40382.0,19663.0,24007.0,2.42047744818,40.4349027309,57.9825085191
16,4,mobile,2017,126564.0,41493.0,60026.0,2.55269956649,25.1766015643,48.6124687258
17,5,desktop,2016,50445.0,14143.0,16386.0,1.7400075462,28.1288453721,29.02750232
18,5,desktop,2017,61764.0,14537.0,20466.0,1.42087431584,22.0632509113,33.9410922773
19,5,mobile,2016,19088.0,9669.0,11437.0,1.13260001198,43.0826833797,58.798121214
20,5,mobile,2017,57280.0,16998.0,22965.0,1.28137555764,25.1233079287,37.3884139541
