,char_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
4,3,desktop,off,68976.0,7539.0,14035.0,4.33693487053,10.9298886569,20.3476571561
5,3,mobile,off,23235.0,4151.0,5229.0,3.35894526083,17.865289434,22.5048418334
6,4,desktop,off,172592.0,18908.0,33612.0,10.8518943281,10.9553165848,19.4748308149
7,4,mobile,off,53523.0,8909.0,10868.0,7.73750063247,16.6451805766,20.3052893149
9,5,desktop,off,209262.0,27053.0,45622.0,13.157557192,12.9278129809,21.8013781766
10,5,mobile,off,71578.0,14005.0,16342.0,10.3476042126,19.5660677862,22.8310374696
12,6,desktop,off,265250.0,32928.0,56981.0,16.6778585944,12.4139491046,21.481998115
13,6,mobile,off,98234.0,18616.0,22584.0,14.2011030236,18.9506688112,22.9900034611
15,7,desktop,off,148619.0,17992.0,31072.0,9.34456801674,12.1061237123,20.9071518446
16,7,mobile,off,54234.0,8960.0,10946.0,7.84028565853,16.5210015857,20.182911089
18,8,desktop,off,159477.0,26036.0,38180.0,10.0272756081,16.3258651718,23.9407563473
19,8,mobile,off,66786.0,14657.0,16169.0,9.65485337593,21.9462162729,24.2101638068
20,9,desktop,off,63850.0,12429.0,17059.0,4.01463250236,19.465935787,26.7173061864
21,9,mobile,off,36983.0,9035.0,9667.0,5.34641155934,24.4301435795,26.1390368548
22,10,desktop,off,73457.0,14086.0,19440.0,4.61868221967,19.1758443715,26.4644622024
23,10,mobile,off,41627.0,9189.0,9927.0,6.01776691941,22.0746150335,23.8475028227
24,11,desktop,off,101904.0,16660.0,24894.0,6.40731574817,16.3487203643,24.4288742346
25,11,mobile,off,54234.0,11328.0,12821.0,7.84028565853,20.8872662905,23.6401519342
27,12,desktop,off,87041.0,18774.0,25160.0,5.4727897829,21.5691455751,28.9059179008
28,12,mobile,off,49868.0,12223.0,13314.0,7.20911909908,24.5107082698,26.6984839978
29,13,desktop,off,54018.0,13183.0,16768.0,3.3964356854,24.4048280203,31.0415046836
30,13,mobile,off,33130.0,8342.0,8845.0,4.78940634781,25.1795955327,26.6978569273
31,14,desktop,off,51036.0,12480.0,18053.0,3.20893945796,24.4533270632,35.3730699898
32,14,mobile,off,30883.0,10583.0,10957.0,4.4645709701,34.2680439077,35.4790661529
33,15,desktop,off,24955.0,7763.0,9127.0,1.56907054184,31.1079943899,36.5738328992
34,15,mobile,off,16499.0,4471.0,4578.0,2.38516194786,27.0986120371,27.7471361901
35,16,desktop,off,18426.0,5402.0,6162.0,1.15855314782,29.3172690763,33.4418756106
36,16,mobile,off,12339.0,3036.0,3140.0,1.7837755788,24.604911257,25.4477672421
37,17,desktop,off,16383.0,4484.0,5312.0,1.03009748295,27.3698345846,32.423853995
38,17,mobile,off,10640.0,2398.0,2537.0,1.53816129009,22.537593985,23.8439849624
40,18,desktop,off,13644.0,3914.0,4606.0,0.857880123136,28.6866021695,33.7584286133
41,18,mobile,off,9197.0,2252.0,2340.0,1.32955539332,24.4862455148,25.443079265
42,19,desktop,off,11684.0,4109.0,4563.0,0.734643166133,35.1677507703,39.0534063677
43,19,mobile,off,6920.0,1900.0,1943.0,1.00038309468,27.4566473988,28.0780346821
