,word_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
1,1,desktop,off,1057526.0,134279.0,225175.0,66.4930031589,12.6974655942,21.2926207015
2,1,mobile,off,371121.0,68795.0,81766.0,53.6507477575,18.5370808981,22.0321674063
3,2,app-S,off,1.0,0.0,0.0,0.0,0.0,0.0
4,2,desktop,off,424677.0,91617.0,124704.0,26.7019904026,21.5733369125,29.3644346174
5,2,mobile,off,253880.0,64021.0,68702.0,36.7019161962,25.2170316685,27.0608161336
6,3,app-S,off,1.0,0.0,0.0,0.0,0.0,0.0
7,3,desktop,off,91652.0,29380.0,33652.0,5.76271101185,32.056038057,36.7171474709
8,3,mobile,off,55652.0,14282.0,14847.0,8.04527745452,25.663048947,26.6782864946
9,4,desktop,off,13156.0,4114.0,4452.0,0.827196635883,31.27090301,33.8400729705
10,4,mobile,off,9216.0,2119.0,2167.0,1.33230210991,22.9926215278,23.5134548611
11,5,desktop,off,3421.0,687.0,713.0,0.215098790769,20.081847413,20.8418591055
12,5,mobile,off,1866.0,280.0,280.0,0.26975648189,15.0053590568,15.0053590568
0,1,desktop,on,383997.0,48249.0,66175.0,62.9597202206,12.5649419136,17.2332075511
1,1,mobile,on,412044.0,21707.0,24395.0,63.7299376534,5.26812670492,5.92048422013
2,2,desktop,on,162919.0,32723.0,40720.0,26.7120176944,20.0854412315,24.994015431
3,2,mobile,on,184158.0,10341.0,11373.0,28.4833121181,5.61528687323,6.1756752354
4,3,desktop,on,43886.0,8979.0,10615.0,7.19549965651,20.4598277355,24.187668049
5,3,mobile,on,37923.0,2585.0,2781.0,5.86546685701,6.81644384674,7.33328059489
6,4,desktop,on,13460.0,3018.0,3549.0,2.20688660112,22.4219910847,26.367013373
7,4,mobile,on,9824.0,802.0,905.0,1.5194564355,8.16368078176,9.21213355049
8,5,desktop,on,5647.0,1697.0,1734.0,0.925875827378,30.0513547016,30.7065698601
9,5,mobile,on,2598.0,209.0,217.0,0.401826936015,8.04464973056,8.35257890685
