,char_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
4,3,desktop,on,30801.0,1999.0,3147.0,4.02335560476,6.49004902438,10.2172007402
5,3,mobile,on,44835.0,2348.0,2872.0,3.7798696963,5.23698003792,6.40570982491
6,4,desktop,on,78165.0,7061.0,11185.0,10.2102396301,9.03345487111,14.3094735495
7,4,mobile,on,107694.0,9794.0,10873.0,9.07927483156,9.09428566123,10.0961984883
8,5,desktop,on,68359.0,7295.0,11534.0,8.92933884567,10.6716013985,16.8726868445
9,5,mobile,on,112214.0,10989.0,12373.0,9.46033897848,9.79289571711,11.0262534087
10,6,desktop,on,69612.0,8788.0,13029.0,9.09301095284,12.624260185,18.7166005861
11,6,mobile,on,125029.0,13085.0,14160.0,10.54072328,10.4655719873,11.3253725136
12,7,desktop,on,93437.0,17967.0,22205.0,12.2051322243,19.2289992187,23.7646756638
13,7,mobile,on,147307.0,16029.0,17283.0,12.4188974094,10.8813566226,11.7326399967
14,8,desktop,on,80447.0,9522.0,13705.0,10.5083240264,11.8363643144,17.0360610091
15,8,mobile,on,135388.0,13530.0,15023.0,11.4140514875,9.9935001625,11.0962566845
16,9,desktop,on,47626.0,4860.0,7673.0,6.22110756249,10.2045101415,16.1109478016
17,9,mobile,on,98013.0,9153.0,10545.0,8.26310624608,9.33855713018,10.7587768969
18,10,desktop,on,34182.0,3844.0,5585.0,4.46499598331,11.2456848634,16.3390088351
19,10,mobile,on,58193.0,4984.0,5782.0,4.90603227917,8.56460399017,9.93590294365
20,11,desktop,on,25793.0,4756.0,5943.0,3.36918967285,18.4391113868,23.0411351917
21,11,mobile,on,33906.0,3092.0,3262.0,2.85848693928,9.11932991211,9.62071609745
22,12,desktop,on,29558.0,4956.0,6045.0,3.86098973947,16.7670343054,20.4513160566
23,12,mobile,on,33504.0,3655.0,3880.0,2.82459583595,10.9091451767,11.5807067813
24,13,desktop,on,30870.0,5124.0,6567.0,4.03236867371,16.5986394558,21.2730806608
25,13,mobile,on,42690.0,4612.0,5076.0,3.59903283896,10.8034668541,11.8903724526
26,14,desktop,on,28779.0,4801.0,6182.0,3.75923349727,16.6823030682,21.4809409639
27,14,mobile,on,38264.0,4570.0,4896.0,3.2258934774,11.9433409994,12.7953167468
28,15,desktop,on,27399.0,4344.0,5861.0,3.57897211827,15.8545932333,21.391291653
29,15,mobile,on,38001.0,4530.0,5082.0,3.20372093964,11.9207389279,13.3733322807
30,16,desktop,on,26064.0,4016.0,5485.0,3.40458882771,15.4082259055,21.0443523634
31,16,mobile,on,38328.0,4287.0,4852.0,3.23128907594,11.1850344396,12.6591525777
32,17,desktop,on,13062.0,2105.0,2728.0,1.70621313949,16.1154493952,20.8850099525
33,17,mobile,on,18707.0,2276.0,2444.0,1.57711659214,12.1665686641,13.064628214
34,18,desktop,on,13574.0,2469.0,3208.0,1.77309272358,18.189185207,23.6334168263
35,18,mobile,on,18795.0,2269.0,2571.0,1.58453554013,12.0723596701,13.679169992
36,19,desktop,on,10667.0,1691.0,2130.0,1.39336820999,15.8526296053,19.9681259961
37,19,mobile,on,14323.0,1480.0,1696.0,1.20751809212,10.3330307896,11.8410947427
38,20,desktop,on,7055.0,1465.0,1738.0,0.921553644088,20.7654145996,24.6350106308
39,20,mobile,on,9860.0,1232.0,1310.0,0.831259400144,12.4949290061,13.2860040568
