,term_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,on,487979.0,54035.0,79669.0,63.7418604803,11.0732224133,16.326317321
1,1,mobile,on,826384.0,76310.0,85327.0,69.6693172544,9.23420588976,10.325345118
2,2,desktop,on,200965.0,35744.0,45463.0,26.2508898773,17.7861816734,22.6223471749
3,2,mobile,on,270448.0,30483.0,33084.0,22.8004505325,11.2712979944,12.2330355558
4,3,desktop,on,57761.0,11551.0,13876.0,7.54498370463,19.9979224736,24.0231297935
5,3,mobile,on,71457.0,8843.0,9641.0,6.02427007668,12.3752746407,13.492030172
6,4,desktop,on,13550.0,2925.0,3293.0,1.76995774308,21.5867158672,24.3025830258
7,4,mobile,on,14579.0,1952.0,2175.0,1.22910048628,13.3891213389,14.918718705
8,5,desktop,on,5300.0,1288.0,1382.0,0.692308194708,24.3018867925,26.0754716981
9,5,mobile,on,3284.0,534.0,564.0,0.276861650109,16.2606577345,17.1741778319
1,1,desktop,off,1250199.0,223320.0,326909.0,68.2335508273,17.8627562492,26.1485571497
2,1,mobile,off,600235.0,112008.0,130666.0,57.2213695339,18.6606912293,21.76914042
3,2,desktop,off,453130.0,123238.0,154618.0,24.7309979342,27.1970516187,34.1222165824
4,2,mobile,off,348004.0,79580.0,85669.0,33.1757819575,22.8675532465,24.6172457788
5,3,desktop,off,111151.0,36604.0,41931.0,6.06641615295,32.9317774919,37.7243569559
6,3,mobile,off,87569.0,21742.0,22603.0,8.34809384444,24.8284210166,25.8116456737
7,4,desktop,off,13987.0,4098.0,4603.0,0.763384609507,29.2986344463,32.9091299063
8,4,mobile,off,10747.0,2273.0,2341.0,1.02452882351,21.1500883968,21.7828231134
9,5,desktop,off,3768.0,727.0,814.0,0.205650476058,19.2940552017,21.6029723992
10,5,mobile,off,2415.0,362.0,367.0,0.230225840586,14.9896480331,15.1966873706
