,word_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,on,1912970.0,204663.0,295020.0,64.6805952466,10.6987041093,15.4220923485
1,1,mobile,on,4370464.0,876079.0,898566.0,68.4905900473,20.0454459755,20.5599680034
2,2,desktop,on,714804.0,125603.0,157413.0,24.1686739492,17.5716699963,22.0218409522
3,2,mobile,on,1472433.0,296742.0,303132.0,23.0748508568,20.1531750511,20.5871506547
4,3,desktop,on,231957.0,43840.0,52454.0,7.84283958014,18.9000547515,22.6136740861
5,3,mobile,on,413354.0,84051.0,85840.0,6.47776971928,20.3339026597,20.7667036003
6,4,desktop,on,63025.0,14149.0,15923.0,2.13097670921,22.4498214994,25.2645775486
7,4,mobile,on,94730.0,19345.0,19785.0,1.48453656069,20.4211970865,20.8856750765
8,5,desktop,on,34808.0,9362.0,9850.0,1.17691451478,26.8961158354,28.2980923926
9,5,mobile,on,30135.0,6661.0,6749.0,0.472252815965,22.1038659366,22.3958851833
0,1,desktop,off,4957904.0,830606.0,1216449.0,71.0313339063,16.7531682743,24.5355497
1,1,mobile,off,2186630.0,440466.0,502931.0,60.7975305408,20.1435999689,23.0002789681
2,2,desktop,off,1546635.0,380127.0,482732.0,22.15846598,24.5776799309,31.2117597235
3,2,mobile,off,1075996.0,259243.0,276561.0,29.9172240717,24.0933051796,25.7027907167
4,3,desktop,off,388436.0,119891.0,137602.0,5.56507895619,30.8650588514,35.4246259358
5,3,mobile,off,278415.0,71049.0,73635.0,7.74111050591,25.5190991865,26.4479284521
6,4,desktop,off,64962.0,20414.0,22023.0,0.930703279697,31.424525107,33.9013577168
7,4,mobile,off,44692.0,10624.0,10850.0,1.24262597464,23.7715922313,24.277275575
8,5,desktop,off,21946.0,4988.0,5226.0,0.314417877778,22.728515447,23.8129955345
9,5,mobile,off,10844.0,1936.0,1952.0,0.301508906941,17.8531907045,18.0007377352
