,char_count,scope,instant,query_count,first_page_count,click_count,perc_query_count,findability,ctr
0,1,desktop,off,4957904.0,830606.0,1216449.0,71.0313339063,16.7531682743,24.5355497
1,1,mobile,off,2186630.0,440466.0,502931.0,60.7975305408,20.1435999689,23.0002789681
2,2,desktop,off,1546635.0,380127.0,482732.0,22.15846598,24.5776799309,31.2117597235
3,2,mobile,off,1075996.0,259243.0,276561.0,29.9172240717,24.0933051796,25.7027907167
4,3,desktop,off,388436.0,119891.0,137602.0,5.56507895619,30.8650588514,35.4246259358
5,3,mobile,off,278415.0,71049.0,73635.0,7.74111050591,25.5190991865,26.4479284521
6,4,desktop,off,64962.0,20414.0,22023.0,0.930703279697,31.424525107,33.9013577168
7,4,mobile,off,44692.0,10624.0,10850.0,1.24262597464,23.7715922313,24.277275575
8,5,desktop,off,21946.0,4988.0,5226.0,0.314417877778,22.728515447,23.8129955345
9,5,mobile,off,10844.0,1936.0,1952.0,0.301508906941,17.8531907045,18.0007377352
